duplicate_cluster_id,duplicate_count,folder_count,label_count,labels,cross_label_duplicate
md5::15a109d19f505055909aac94e5ec60ab,2,1,1,work,False
md5::16591cc3520be65b0007f6484f24c94d,2,1,1,inaction,False
md5::176fd1007c511de5313641bf74bc0c43,2,2,1,work,False
md5::183df28ec40f7c40373880dfe962d83d,2,1,1,move,False
md5::19f6c562145a9f57987e2b45bd61caad,2,2,1,work,False
md5::1b524a9b74659d5f68327dbc1d003fc4,2,1,1,work,False
md5::1b710fb83f3bdc07504443d7c4289917,2,1,1,inaction,False
md5::1cf6ce5481b9adfa76003c5b29e71c6f,2,1,1,work,False
md5::1d3bb3171e21afd3d409fb38525628e8,2,1,1,work,False
md5::1e1cd376ee433a07ef52a3fe40259611,2,1,1,work,False
md5::1e70e7bc670af6bf1b2714cd4d4f788d,2,1,1,inaction,False
md5::1efbba7e42188287bfb8c6414b4f3140,2,1,1,move,False
md5::1f613d17dd219ffa022f5ad13d1d0d6d,2,1,1,work,False
md5::209e69210b52e26714bab3dc5194bd11,2,1,1,inaction,False
md5::20ac6eb856ff3417bf38a7cb8bd1ca0a,2,1,1,inaction,False
md5::2155a063404462bb9a46685248e10722,2,1,1,work,False
md5::23d8b580c2e82a560b2206a86ccbce4b,2,2,2,"inaction,work",True
md5::243c1adfa2313833589ff16f019ea101,2,1,1,inaction,False
md5::24a51971f152261be2bd8bb271776671,2,1,1,work,False
md5::250add31254ff1d2c255ec6e65b7ecf0,2,1,1,move,False
md5::251c6179d300d64a966fc041c0e778da,2,1,1,work,False
md5::253d0636a64b4c5a2dc28b496f91e73f,2,1,1,inaction,False
md5::2599fa6be2fa144c8332cb68babbca84,2,1,1,work,False
md5::26a7847e2fc0681d8a3f511840e15aa4,2,2,2,"inaction,move",True
md5::2747110c3745170395aaadd784e9dbce,2,1,1,inaction,False
md5::27d45c10ce55ea24a93754fd5b868eae,2,1,1,work,False
md5::27efbd8fd5b48008080b603adf8849f6,2,1,1,move,False
md5::2847313a58cccca8baf567a1b199809e,2,1,1,work,False
md5::28ff3e28c86787b7fd0c2f2e0d0f9c2b,2,1,1,move,False
md5::29ad704fa60a95879ff2dec7a5f7e2fc,2,1,1,inaction,False
md5::2c32a17f6b9b4a545759684ff7c7b7af,2,1,1,move,False
md5::2e1c4cb75a91803007a5506214d2cbfa,2,1,1,inaction,False
md5::2e5e02a726fbbade1a69002ac9a3a299,2,1,1,work,False
md5::2ecc250b2e181798c6caf84634e320d3,2,1,1,inaction,False
md5::2f8db64b2f5cb71632ac71235652726a,2,1,1,work,False
md5::30246764aed710c1689917471c752c79,2,1,1,work,False
md5::305791a66411448f819247cc7621666a,2,2,2,"inaction,move",True
md5::30ef478c906d81bc64bfd74a00422f4c,2,1,1,inaction,False
md5::32cffb03d98761cd9863443b926bd97d,2,2,1,work,False
md5::33a939661e8a74ef537ad9e3bb20e242,3,2,2,"move,work",True
md5::369a3ca11e4236f36512674371c93412,2,1,1,work,False
md5::373f8eb19170ab82b56fa3e7ff4c6653,2,1,1,work,False
md5::374f50aca801e217652d55b110490781,2,1,1,work,False
md5::3832bf00b8a8bc15aa48c981d6cecf67,2,1,1,work,False
md5::3875f786746772b500a0fd5caf42c79e,2,2,2,"inaction,work",True
md5::38e307218ee88ee855b2429049ca7868,2,2,2,"inaction,work",True
md5::38ed3856c1666ab18bcd92cc4ac0003f,2,2,2,"inaction,work",True
md5::3ae72251de18b0364350cdd1264e5122,2,1,1,work,False
md5::3bee5495b15387a06ea6f9dea9df6054,2,1,1,work,False
md5::3cfbc039fb3cf645e446e8c344b92d01,2,2,2,"inaction,move",True
md5::3e7c2b93831033bc8001d789d400cca2,2,2,2,"inaction,work",True
md5::3eda22b174738927fc00fb1386fb6a35,2,2,2,"move,work",True
md5::3ef60f917196953682848e7b0b37e910,2,1,1,work,False
md5::401bdb43b9e4a3f03de930e8cf72dd6c,2,2,2,"move,work",True
md5::411a2a2a2df47b1951c05d3cd9bf02b8,2,1,1,inaction,False
md5::413ba3070789262776e0c6dc0379194b,2,2,2,"move,work",True
md5::419eb4797968894079bd87f308f4b40d,2,1,1,inaction,False
md5::41ce7a4602b2373687ba6298f6e1731c,2,1,1,work,False
md5::436657b4ae54eb9054e442e331f4d193,2,2,1,work,False
md5::44f2e088e3ed97dda41b88747e9ccd7a,2,1,1,work,False
md5::458a5f61e24f821f0b7d41c28d118ca4,2,2,2,"inaction,work",True
md5::45bb2022b755aef0f7f95e9f3480ed6d,2,1,1,inaction,False
md5::45eb6b98f965be101f4c50fc18443a0a,2,1,1,work,False
md5::4613547648b5ac339ad5cd942eb5884e,2,1,1,work,False
md5::462df5657ecf3e5b552c8f0981c4ffe7,2,1,1,work,False
md5::46db30afd44c03737c42335095e3ff8f,2,2,1,work,False
md5::477326ba68dcc709e1e32e1ea0e2ed30,2,1,1,inaction,False
md5::47a975ec61e52acca9724611ca4e9194,2,1,1,inaction,False
md5::47fbe855b8d87a740f11d044906ba75a,2,1,1,work,False
md5::4805cd55fa95ae6e587d41666aa24fd0,2,1,1,inaction,False
md5::4822e0f0ec5d17b56b950b15e61f5487,2,1,1,work,False
md5::484818311aba2ccdf4d33dd7c6caf459,2,1,1,work,False
md5::484a1e34049c5641ee8becdf720eb2cb,2,1,1,inaction,False
md5::48e164fb657533dbb5f20e89fd9ab34d,2,2,2,"inaction,work",True
md5::49145dfcaf57ceea076fc3aa68e96669,2,2,2,"inaction,work",True
md5::49cc08cc799339ab39e9ba742cb9ff3a,2,1,1,move,False
md5::49ecc50f398131ec41864353afe69518,2,1,1,work,False
md5::4a8a212780e42b1c6d789ba040f382c1,2,1,1,move,False
md5::4c0d476afd25bd58767cf5e9a4e77105,2,1,1,work,False
md5::4c20b91af0330eb6a10d131b29c9f68a,2,1,1,work,False
md5::4c5ed7be3ff571d342cd9fd99e84a9af,2,1,1,move,False
md5::4cbd5c67107196b7bbbe0800b064a93c,2,2,2,"move,work",True
md5::4e75a3b4da2b4c3d949c874a4ef19ae7,2,2,2,"inaction,work",True
md5::4e8223e26e09db3014b3a722d2c9eb25,2,1,1,work,False
md5::4e96c641960b00b180f23f31014155f2,2,1,1,work,False
md5::4f29c406c7e88b00402c23c93e65106b,2,2,2,"inaction,work",True
md5::4f3e6df962350955f13ca6030159c1cc,2,1,1,work,False
md5::512d9ea5caf5831c9d36c46442e125db,2,1,1,work,False
md5::514e1c8575f21d99da3a223c373a4190,2,1,1,inaction,False
md5::51e8726c497311a57ffc8312962e7786,2,1,1,inaction,False
md5::5303abf43bd10de16c7ac6dde3e53f4c,2,1,1,inaction,False
md5::5319617c7e5210156d2f941acf36e9aa,2,2,2,"inaction,work",True
md5::531d07e3f4d680e8eda24388e0d52915,2,1,1,inaction,False
md5::53ee130849ee90830cd60a7d14a6a0ad,2,1,1,inaction,False
md5::549fe1aec129c0641032b62e727ddcd6,2,1,1,work,False
md5::553ad4dccb100ccf072ddec85663630a,2,1,1,work,False
md5::555978d87137fd76dbe45a6d9ac7e999,2,1,1,work,False
md5::560e049d954d0092e8fa1aa346b7d6bc,2,1,1,move,False
md5::56542333aa1ba884f77f6c90e2ffd23f,2,1,1,work,False
md5::572e3ccb505293ebab41d48cfdd6f978,2,2,1,move,False
md5::57ded95dd77b761d8a04457487dabd0f,2,1,1,inaction,False
md5::57f8a4322e1f915a6c9fdef78b7eee1b,2,2,2,"inaction,move",True
md5::585e4623c21017d8a248941d9bd889e6,2,1,1,inaction,False
md5::58706a9dfecb8245ec480000316c8dad,2,1,1,work,False
md5::5a27b00be283b8f9587f1a842e23daa1,2,1,1,inaction,False
md5::5a4fdb23b3546c163885306a14429216,2,2,1,move,False
md5::5a844508e309c25a8d46d3796099eb2c,2,1,1,inaction,False
md5::5b08d0ffad86b8252b1673943a2c8341,2,1,1,inaction,False
md5::5b8c536ba1ede56a24c12e9709c831c7,2,1,1,work,False
md5::5f496d093a1b787ac460b38419bfdd61,2,1,1,move,False
md5::5f7917c63ec1bdd2479d2b88050ac36c,2,2,2,"inaction,work",True
md5::600c8afc425e3a8896c3bc9933704390,2,1,1,work,False
md5::60894908ed47e1646a2f585276dfee73,2,1,1,inaction,False
md5::626e101b80f433d9ad2aaac408d6a9fd,2,1,1,work,False
md5::63015ee82074ed95fa86fbc3990e15d3,2,1,1,work,False
md5::64075be8e325987a627e4f21927fc282,2,2,2,"inaction,move",True
md5::642e104d20cd59879b3a3b006d75c286,2,1,1,inaction,False
md5::64d932a743f567bf5ad9089b62e81e98,2,1,1,work,False
md5::6581b23cfe5624c51fbc30f6098e6d09,2,1,1,inaction,False
md5::65bb9b9bb56cdef2978b66ee65eb7dc0,2,1,1,work,False
md5::660bcb4faf5879a0526db6cb2185f3c4,2,1,1,inaction,False
md5::665299b03bd625f183b4eda11ced7c6e,2,1,1,inaction,False
md5::66889e92656d1ec6b6d29a9a752f2d80,2,1,1,work,False
md5::682e56d604a787d3930a3b777c46748f,2,1,1,work,False
md5::6a6fedfde63a2999577b1fe97d41c58f,2,1,1,inaction,False
md5::6b490d035fec47fbfa8704f62c1c64bf,2,1,1,inaction,False
md5::6b7d9a14f7d14e973bd9d9da0da436a0,2,1,1,move,False
md5::6c92a3e5146d4c16c791c078d06e124a,2,1,1,work,False
md5::6db19ad058a538ba328db30755962337,2,2,2,"move,work",True
md5::6def535d38f16c15c0bf8b8268cc9d29,2,2,2,"inaction,work",True
md5::72b6409467df9fd8bcbc438b3d17ca14,2,1,1,work,False
md5::72d3676af93954540a400a6c321d0ae0,2,2,2,"inaction,work",True
md5::7303c8b948758ded90ecce2754a4f6d1,2,1,1,work,False
md5::732bffaad09ddbd54a2e4202e9e5c127,2,1,1,work,False
md5::751301a4413964c5d42f6a01d0ea2e4c,2,1,1,work,False
md5::751c912ef66becc232592768978e23ee,2,1,1,work,False
md5::75225f98ffbde95917a1144a9b8d6360,2,1,1,work,False
md5::757390414149c4e1b31de2313fc24b55,2,1,1,inaction,False
md5::76529d73cd556e70a976e3ccba9b0707,2,2,1,move,False
md5::77868133d30e2be083c5197e0bd26a57,2,2,2,"inaction,work",True
md5::78f2bc881b1450124c89fa8dff4a1f49,2,1,1,inaction,False
md5::7935cbf2dfcf837e10daae2d33efa0d6,2,1,1,work,False
md5::79631b7166be3ec70c56ac548b9cb7c0,2,1,1,work,False
md5::797749100552a0434ffd37b7928f33d9,2,1,1,work,False
md5::79c909baf69b3cb3a1ac4f64ff4fcc9c,2,1,1,inaction,False
md5::7ccf9171d2f66648c1c80e0fecd27d85,2,1,1,work,False
md5::7cecd1b711dee26020fddbd664238d21,2,1,1,work,False
md5::7dcf313108782b370c714475f7b36777,2,1,1,work,False
md5::7ea427abd4d868866682cf83c85c8d60,2,1,1,inaction,False
md5::814ca02275ee424dad26f496a7968908,2,1,1,work,False
md5::81ed32c3dce50c3c4756bfb3a75cf37b,2,2,2,"inaction,work",True
md5::82600dca75ff522c6163ab2312b98209,2,1,1,inaction,False
md5::83ed0771554952771fc11fb92a7e9b45,2,1,1,work,False
md5::841a0a5b17e2bfeed0bd16dc4767d37a,2,1,1,work,False
md5::8460c5ecfebf73c80fd8cb62f799bd7b,2,2,2,"inaction,work",True
md5::84b596360ff8fe233fca95565a171e90,2,1,1,work,False
md5::84b64eb7b3db54e104f7f9c2856bc334,2,1,1,inaction,False
md5::8509981c5025947790b1e679461853e4,2,1,1,work,False
md5::8568929f6f3cd7001c9d6ff44b98c52e,2,1,1,inaction,False
md5::8584ca3ccd3ac34f0912ad8f8fe8eaff,2,1,1,work,False
md5::8595a1849be450dacb555c5c403e359d,2,1,1,work,False
md5::86b4512e40a32fa1510cf3a601560f39,2,1,1,move,False
md5::86b5096c6dc8757d9ac165f4140a7ad5,2,1,1,inaction,False
md5::87f98415ace668c1f309f527177b99b8,2,1,1,work,False
md5::89aaf15097c6668774d788abab44a2d0,2,1,1,work,False
md5::8a2ee531e1bbb677a305425e4e123910,2,1,1,inaction,False
md5::8aaec19e411aeb03d1d5349392fc9172,2,1,1,work,False
md5::8ae1d4500672f522d67f32fb459ac2c6,2,1,1,work,False
md5::8b960c76f6c192acac1a49b6fa2bbd40,2,1,1,work,False
md5::8d761e5fba555a1758844c9bc34719e5,2,1,1,inaction,False
md5::8d7ecc06fdadfd3fc10658d39040c1ae,2,2,2,"inaction,work",True
md5::8d97265cea16f3480bab75de13ea6627,2,1,1,inaction,False
md5::8e6cdc596ec8efd4d7ea1c849e6f2df4,2,1,1,work,False
md5::8f140dc97d40bb6bb69b5cad2a36cb03,2,1,1,work,False
md5::8f1c6f14a85ae8cb26313497c54b4411,2,1,1,inaction,False
md5::8f5fa9fc092a887c5bc10df3861cc4a0,2,1,1,work,False
md5::8fcfe1499f32648d6c1d5b034c1e8660,2,1,1,work,False
md5::912c3c5c8583f4f47fac42f9531a109e,2,1,1,work,False
md5::9220fd3e414addb43a07823fe4eff8b8,2,2,2,"move,work",True
md5::9317ef23bc80973f714d20fa706c8fac,2,1,1,inaction,False
md5::95fcfaa5ed7c0cabf04337127d861cac,2,1,1,work,False
md5::960ee773d3840c4e8a4e0a4baf161a45,2,1,1,work,False
md5::972fb0e357a559746ae9dd2b27c0c426,2,1,1,work,False
md5::9769c6d08a5d85aefd6da0a2b0ff794f,2,1,1,work,False
md5::983c86c12cd89eff6f1de80c64351d82,2,1,1,move,False
md5::987c8a07fed4452e517dc693546fa700,2,1,1,work,False
md5::98ab26263ef057d339eaacbc3a8a6091,2,1,1,inaction,False
md5::9905ad43ae178fa50d90c6665ba3fc24,2,1,1,work,False
md5::9a111cb66598bd8718dfe5e826272cf4,2,1,1,work,False
md5::9a2974fe68a4ab0abedc14c2956727a8,2,1,1,work,False
md5::9a2d262bd38040340306ade6e4426e85,3,2,2,"move,work",True
md5::9b19a23efd64a870be2e06982ba3ad85,2,1,1,inaction,False
md5::9b7a4ae0e59cc96a6caf2ac1351a7945,2,2,2,"inaction,work",True
md5::9b98282bad1bfaba0324b04e948fab7c,2,1,1,work,False
md5::9bd576a8eeedaf12812b10252cc92b4c,2,1,1,work,False
md5::9bd7f313e03e445b3ca949f2d87fbd2d,2,1,1,work,False
md5::9c356a665892f97e13f311b531bfd222,2,1,1,work,False
md5::9c3d60ef62d120882b21738b0201a6ea,2,1,1,work,False
md5::9caeacd4c44ef500d1207a1e26196e33,2,1,1,work,False
md5::9cf542529f998d20d71e5fe9cf2a1923,2,1,1,work,False
md5::9cfcde7eef38871ad6e69234da4dfa97,2,1,1,work,False
md5::9db439034e5e900b383d852e5e0a99a0,2,1,1,inaction,False
md5::9e629f21826219378aa97af5a0082cea,2,1,1,inaction,False
md5::a028f3e71d3a966af52d1799f5bb86a9,2,1,1,inaction,False
md5::a07602f65c7a9afbe24a523539d618ad,2,1,1,work,False
md5::a1738a50837c1e93c8659dfb7def785e,2,1,1,inaction,False
md5::a274884f48a7d73ac9875ebdf646d4c4,2,1,1,work,False
md5::a2eef9fe20e8e57da44f394e255b3464,2,1,1,work,False
md5::a349fb28018efc49a7f574cf59dfdaa3,2,1,1,work,False
md5::a39d4b23d2c10937859f646de0b634fe,2,1,1,work,False
md5::a4f749aa43d30fab28a9a142ef992d8e,2,1,1,work,False
md5::a52cd96f4730d3dd28fa6c48d2a7d603,2,1,1,work,False
md5::a60d74dc363df3657a26506d928d86ad,2,1,1,inaction,False
md5::a68cc9233d67aff1dffa4dbe522e0b9f,2,1,1,inaction,False
md5::a7b5acfb7ed118025c516d752b0723fb,2,1,1,inaction,False
md5::a7e3be142e1c2a1205be1135abe53ceb,2,1,1,inaction,False
md5::a7fb8bc3afe7e6490ffd721cbb175362,2,1,1,work,False
md5::a808281bfbb7a2333ca10d4ad9b9ecf1,2,1,1,work,False
md5::a8d25d973a75a623feef59ce400726b2,2,2,2,"inaction,move",True
md5::a8f3d0d0049ca83dc55ad377bca12dc5,2,2,2,"inaction,move",True
md5::a9fb4020dd30f2a2d2c32cca6a7a3b05,2,1,1,inaction,False
md5::aa6a5f5adb9f3f48e60465ebd9421a96,2,1,1,work,False
md5::ab1f7be8748c5be87a2dd04140a39dbd,2,1,1,work,False
md5::abd43dcf024ec1446e002aaadcf0bfbc,2,1,1,inaction,False
md5::ac1fc570128d0ca6a2317aa8a4d7b102,2,1,1,work,False
md5::ace6917aeb753eff39dd4bf5fc93f2d3,2,1,1,inaction,False
md5::ae0c8ce3c6130ae4d05fb6481f564db0,2,1,1,work,False
md5::ae3ec727220e5b21aa2ad888557fc706,2,1,1,work,False
md5::aecbabbac90b7c745631aca40a19090b,2,1,1,work,False
md5::aeced0b58da38c083e662ff2c0c7851e,2,2,2,"inaction,work",True
md5::af48d49419e1f87296dd157433597971,2,1,1,work,False
md5::b09a67f78f205e3921533acb1dc60087,2,1,1,inaction,False
md5::b1dd7a5d0aeb92be0fbe0420df80b2be,2,1,1,move,False
md5::b28d9df92c33368068088981f8ec8aa0,2,1,1,move,False
md5::b32ca91c5e957c894fe9aa2b767fc17f,2,1,1,work,False
md5::b4f11f9cc7aed61bacaa996b9fe80ec8,2,1,1,work,False
md5::b56092d817362798453271f24046567b,2,1,1,work,False
md5::b5b78f565c6b5d7049e8fe6fdd31135a,2,1,1,inaction,False
md5::b5bb5c9d2174f993fa73308fb1fef9ca,2,1,1,work,False
md5::b61bc6662ba72744e4e980a07612a5ef,2,1,1,inaction,False
md5::b6258c0c5fdd1dc498fb5a6885568318,2,1,1,work,False
md5::b7ff3e9a255a7c2d29c5ccb05b618f58,2,1,1,inaction,False
md5::b94e7f3c5a89aeef4728254e717cdf37,2,1,1,work,False
md5::b9cd2ec297af041b87633fee01c2f632,2,1,1,work,False
md5::ba7466dcf7d8612a24323f1c179ec15c,2,1,1,work,False
md5::baa0d96c448a06e6f2733811e946f8a7,2,2,2,"inaction,work",True
md5::bbebf9c46f5964cd338ee08e3858ca36,2,1,1,inaction,False
md5::bbf28f4acfc192daf480bbfb446b452b,2,1,1,work,False
md5::bc051f50171bb0704e1f356ec6b9a258,2,2,1,work,False
md5::bccd91a0adb7f126645279f19e9f568b,2,1,1,inaction,False
md5::bcd7e5af737a59c21c7743cd7d8e449d,2,2,2,"move,work",True
md5::be3c4b45d1b4a6871197dff1091d0f47,2,1,1,inaction,False
md5::c1146ba4cdaed04c6c95aeac60ac0608,2,1,1,work,False
md5::c2549601a89254204ed909a4b648040f,2,1,1,move,False
md5::c3de0041f51890d676b4cedee014f9ce,2,1,1,work,False
md5::c535ff64c53d3b36c315e67cf5ce2e8a,2,1,1,work,False
md5::c57524ff14a9763410cb8acab27e24a8,2,1,1,work,False
md5::c587fd86781707dc3de82bef31702fda,2,1,1,work,False
md5::c5d34840d8202297acbf9fd1f2aaf476,2,1,1,work,False
md5::c7435fabd58613416b0de47934bd02e7,2,1,1,work,False
md5::c884de04b76490b1ec73958704beab8b,2,2,1,move,False
md5::c8a7499bfb11bb355f80905c08208abc,2,1,1,work,False
md5::c9c68a456a1545f9616f726f98b5f55f,2,1,1,work,False
md5::c9e354cf89e0289b1eb6dce3518cf41b,2,1,1,work,False
md5::c9e8b908b29b321a1edfb287d59be42f,2,1,1,inaction,False
md5::ca1516bbbd7212041f1b602f1c77e32d,2,1,1,work,False
md5::cadd281c3ce6da4dec5d9aca5205d65f,2,2,2,"move,work",True
md5::cafa1d30aea95e63592087071148e642,2,1,1,work,False
md5::cb72d8c5a0e6d99bf66550abb197cf39,2,1,1,work,False
md5::cc0664ad85fa80dacea80f440eb00629,2,1,1,move,False
md5::cd037fa7d23528ac9dbb1e5d97f58b33,2,1,1,inaction,False
md5::ce5ada07bbad169ff23d642de53c07d7,2,1,1,work,False
md5::ceb858806bc693714df210093a87bb37,2,2,1,work,False
md5::cf1fefc426d546a33052ebfc3722eb92,2,1,1,work,False
md5::cfc0ccb909fca26381ccc31d1e414742,2,2,2,"inaction,move",True
md5::d037e3d7a6c7b04cdc3626141ad71c16,2,1,1,move,False
md5::d07eb611b2677a732d2dd27afda9f0e6,2,2,2,"inaction,work",True
md5::d1eb2e2e0d1d433c855013fa97ee84f2,2,1,1,work,False
md5::d21d7f5161f7f546d790ab7716738d71,2,1,1,work,False
md5::d29404f1028699d8efb91734d7349b98,2,1,1,work,False
md5::d319a39b68fbf21adefc721c192b3c4a,2,1,1,work,False
md5::d379ead0518cb6875baa71e4179c38f2,2,1,1,work,False
md5::d3b5e94365573be5d0f2591fdf183437,2,1,1,work,False
md5::d3fa158588fb0fdba32f6928587ffe76,2,2,2,"inaction,work",True
md5::d47196f0660ea6d20f6950299ee4341b,2,1,1,work,False
md5::d4aa731e943a74c446158d9b9c26dc49,2,1,1,move,False
md5::d4e593183014f0a43924193d048c3850,2,1,1,inaction,False
md5::d5795dc1eaf097e0293231bc509dc4d9,2,1,1,work,False
md5::d6adf7d028e5428a5e14a6c21ee4211f,2,1,1,move,False
md5::d6fed818b05557229ce558523ae0dcd1,2,1,1,work,False
md5::d736fee2fbc44dbe8f1243c4384d3586,2,1,1,work,False
md5::d7e02e23c34a69b1ffe518c8d5ff220f,2,1,1,work,False
md5::d851c91e2ed02f94412ad23aa0e19425,2,1,1,work,False
md5::d8545a53eec43dfdc378fec476e1e15c,2,1,1,work,False
md5::d9825fcdef7690d4c4f5df18206b0ba9,2,2,2,"move,work",True
md5::d99a0eef2586e2a3dec37dc7b09972da,2,1,1,work,False
md5::daba07f305e77de1058799f8235fab45,2,1,1,work,False
md5::db0caa084a44e8c44c33380643df3b5a,2,1,1,work,False
md5::dbbcf0d138a2323e8131505f1efdc6c5,2,1,1,work,False
md5::dbf1ee9ff0ab3a129486e07b9ed23e2d,2,1,1,work,False
md5::ddeefd63bce62a20ad4aa529587a5ab6,2,1,1,inaction,False
md5::df12045375358c703cd805bda1af617e,2,1,1,inaction,False
md5::df26cd31de28da2d904e1c0d4ebf856b,2,1,1,work,False
md5::dfc78786cc16874691ca8e2a2789a8aa,2,1,1,work,False
md5::dfd8dc1c01ae0a758c6b9998955fbb2d,2,1,1,work,False
md5::e0b899974ae2cb76a9520f66bf05fb30,2,2,1,work,False
md5::e1d3faf8af32ceef3fc7dd6d22f873de,2,2,2,"inaction,move",True
md5::e29177e04f2973a808e0eb724128677d,2,2,2,"inaction,work",True
md5::e314f5f6335855c344ecaaee7c511652,2,1,1,move,False
md5::e324d096dbc7566a01a93aedac534a4c,2,1,1,work,False
md5::e46f961fffe2247be5b0ebbc489bf40b,2,1,1,work,False
md5::e740afbc4c14995f53ec8a64ded315ff,2,1,1,inaction,False
md5::e934f4c1a392ab2deff1c637e2cfbb9c,2,1,1,work,False
md5::e9d8a83145628a2c1021034b9bee86a4,2,1,1,work,False
md5::ec7ce26bfacf453aa23314e156bf1b01,2,2,2,"inaction,move",True
md5::ecb9a8f4d227ae7938c836c655f50905,2,1,1,inaction,False
md5::ecd179e5438158946cb83cbb056ad45e,2,1,1,work,False
md5::edabb23e7660a8955dfac1d6106b7bbc,2,1,1,move,False
md5::ee56bd80b371124d615075a8276d4b01,2,1,1,work,False
md5::eecee987d7fa9197105a2c68a34c48b5,3,1,1,inaction,False
md5::f034ebe99c2f1175c94ced8af717b7c6,2,1,1,inaction,False
md5::f06d59727f3d34f67384c5adcb4fc47a,2,1,1,work,False
md5::f0775745fe49cc162557f6d97437f8d3,2,1,1,move,False
md5::f0f83bf5ed2f0342626cc77f27d1bee4,2,1,1,inaction,False
md5::f292cc68aed3e0bdf679e3dd4e3bb9a4,2,1,1,work,False
md5::f2dd71c8f0f92b5eb2cd396b8496938f,2,1,1,inaction,False
md5::f346f1bcefc369c67d4b64da7860d554,2,1,1,work,False
md5::f576c0a40b4408044438e2a618f616bd,2,1,1,inaction,False
md5::f7a2bddc8c6cb0baa70155e81effaf4b,2,1,1,inaction,False
md5::fa8f17531ba54c049addb78a416b1e88,2,1,1,work,False
md5::faae6e3c3f27fecffd16388422845b96,2,1,1,work,False
md5::fb03e078522182202145e6e3cf186aba,2,2,2,"inaction,work",True
md5::fb04babef65d771b4bdab54ad7933bc4,2,1,1,inaction,False
md5::fc0cd15160c79fda07172ed8b2535595,2,1,1,work,False
md5::fd6695e3c2dd54ab6c2308264d6d5876,2,1,1,work,False
md5::fea4e4c5bc00744904047580b9f9dcd1,2,1,1,work,False
md5::fec55a39bf73c34d0e51754a543169a8,2,1,1,inaction,False
md5::feef6b57ca9147e8dd49bae701455bf3,2,2,2,"inaction,work",True
