sample_id,label,folder_rel,sample_kind,group_key,frame_count,unique_sizes,has_size_variability,width_min,width_median,width_max,height_min,height_median,height_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_max
inaction/(7)::14,inaction,inaction/(7),prefixed_8,14,8,8,True,258.0,271.0,290.0,461.0,464.0,469.0,0.5501066098081023,0.5822095770799874,0.625
inaction/(7)::15,inaction,inaction/(7),prefixed_8,15,8,8,True,238.0,265.0,282.0,436.0,468.5,481.0,0.5179704016913319,0.565640803681261,0.5862785862785863
inaction/(7)::16,inaction,inaction/(7),prefixed_8,16,8,8,True,213.0,222.0,265.0,431.0,445.0,467.0,0.46916299559471364,0.5081763978189193,0.5691244239631337
inaction/(7)::17,inaction,inaction/(7),prefixed_8,17,8,7,True,211.0,212.5,218.0,452.0,453.5,455.0,0.46373626373626375,0.46909477213364004,0.4801762114537445
inaction/(7)::2,inaction,inaction/(7),prefixed_8,2,8,5,True,235.0,236.0,239.0,439.0,439.0,443.0,0.5327313769751693,0.5375854214123007,0.5444191343963554
inaction/(7)::3,inaction,inaction/(7),prefixed_8,3,8,7,True,236.0,238.5,243.0,443.0,444.5,447.0,0.5327313769751693,0.5355123746771602,0.5460674157303371
inaction/(7)::4,inaction,inaction/(7),prefixed_8,4,8,6,True,237.0,238.5,240.0,445.0,445.5,446.0,0.531390134529148,0.5353529500680203,0.5393258426966292
inaction/(7)::5,inaction,inaction/(7),prefixed_8,5,8,6,True,235.0,239.0,241.0,446.0,446.0,447.0,0.5269058295964125,0.5358744394618834,0.5403587443946188
inaction/(7)::6,inaction,inaction/(7),prefixed_8,6,8,6,True,233.0,235.0,239.0,443.0,445.5,446.0,0.5259593679458239,0.527027027027027,0.5358744394618834
inaction/(7)::7,inaction,inaction/(7),prefixed_8,7,8,8,True,225.0,228.0,262.0,464.0,471.5,477.0,0.47379454926624737,0.48356588938069023,0.5646551724137931
inaction/(7)::8,inaction,inaction/(7),prefixed_8,8,8,8,True,226.0,228.5,230.0,474.0,476.0,477.0,0.47379454926624737,0.481052547601319,0.4831932773109244
inaction/(7)::9,inaction,inaction/(7),prefixed_8,9,8,8,True,229.0,231.5,247.0,473.0,476.0,477.0,0.4810924369747899,0.4853249475890985,0.5221987315010571
inaction/(8)::0,inaction,inaction/(8),prefixed_8,0,8,8,True,314.0,318.0,339.0,319.0,320.5,333.0,0.9429429429429429,0.9953027037617554,1.0626959247648904
inaction/(8)::1,inaction,inaction/(8),prefixed_8,1,8,8,True,333.0,347.0,348.0,311.0,315.5,320.0,1.040625,1.0998663826880186,1.1189710610932475
inaction/(8)::2,inaction,inaction/(8),prefixed_8,2,8,8,True,346.0,348.5,350.0,314.0,315.0,318.0,1.0974842767295598,1.1049287230815894,1.10828025477707
inaction/(8)::3,inaction,inaction/(8),prefixed_8,3,8,5,True,304.0,308.0,309.0,305.0,306.0,307.0,0.9934640522875817,1.0065359477124183,1.0098360655737706
inaction/(9)::0,inaction,inaction/(9),prefixed_8,0,8,8,True,209.0,241.0,285.0,294.0,409.5,420.0,0.5704057279236276,0.6131975406299439,0.7108843537414966
inaction/(9)::1,inaction,inaction/(9),prefixed_8,1,8,7,True,195.0,199.5,216.0,412.0,414.5,416.0,0.46875,0.48072858602749907,0.5242718446601942
inaction/(9)::2,inaction,inaction/(9),prefixed_8,2,8,7,True,194.0,195.5,199.0,412.0,413.0,416.0,0.4674698795180723,0.47394155951009664,0.48184019370460046
inaction/(9)::3,inaction,inaction/(9),prefixed_8,3,8,7,True,206.0,208.5,211.0,433.0,435.0,438.0,0.4703196347031963,0.4804093334395158,0.4861751152073733
inaction/(9)::4,inaction,inaction/(9),prefixed_8,4,8,8,True,176.0,224.0,231.0,324.0,427.5,437.0,0.5137614678899083,0.5226246633569288,0.5432098765432098
inaction/(9)::5,inaction,inaction/(9),prefixed_8,5,8,8,True,176.0,197.0,218.0,324.0,404.5,407.0,0.48148148148148145,0.5067111440873817,0.5432098765432098
inaction/(9)::6,inaction,inaction/(9),prefixed_8,6,8,7,True,191.0,192.5,195.0,404.0,405.5,411.0,0.4669926650366748,0.4740740740740741,0.48267326732673266
inaction/(9)::7,inaction,inaction/(9),prefixed_8,7,8,8,True,175.0,180.5,203.0,293.0,398.0,405.0,0.4472361809045226,0.4940110372507212,0.5972696245733788
inaction/146::folder,inaction,inaction/146,folder_8,folder,8,8,True,114.0,148.5,163.0,291.0,335.5,352.0,0.35919540229885055,0.43048369138066545,0.49393939393939396
inaction/14::folder,inaction,inaction/14,folder_8,folder,8,7,True,101.0,104.0,107.0,233.0,234.0,237.0,0.4279661016949153,0.4423076923076923,0.4533898305084746
inaction/32::folder,inaction,inaction/32,folder_8,folder,8,8,True,136.0,139.5,150.0,257.0,264.5,267.0,0.5112781954887218,0.5396587847949715,0.5639097744360902
inaction/692::folder,inaction,inaction/692,folder_8,folder,8,6,True,46.0,48.0,49.0,119.0,121.0,125.0,0.376,0.39346905865752874,0.4049586776859504
move/(1)::0,move,move/(1),prefixed_8,0,8,8,True,96.0,117.0,133.0,269.0,292.0,321.0,0.35424354243542433,0.38941791557521366,0.45714285714285713
move/(1)::1,move,move/(1),prefixed_8,1,8,8,True,125.0,154.5,179.0,312.0,335.0,351.0,0.39184952978056425,0.44408045977011495,0.5737179487179487
move/(10)::0,move,move/(10),prefixed_8,0,8,8,True,37.0,41.0,43.0,109.0,112.0,116.0,0.3333333333333333,0.3633107999356189,0.39090909090909093
move/(10)::1,move,move/(10),prefixed_8,1,8,8,True,36.0,38.0,43.0,104.0,109.5,112.0,0.3302752293577982,0.3519917582417582,0.39090909090909093
move/(11)::0,move,move/(11),prefixed_8,0,8,8,True,57.0,63.0,67.0,139.0,153.5,164.0,0.3935483870967742,0.4087787595136034,0.45774647887323944
move/(11)::1,move,move/(11),prefixed_8,1,8,8,True,65.0,73.0,77.0,161.0,182.0,200.0,0.36683417085427134,0.3965402969247084,0.437125748502994
move/(12)::0,move,move/(12),prefixed_8,0,8,8,True,41.0,43.5,45.0,114.0,116.5,121.0,0.34710743801652894,0.37065120428189113,0.39473684210526316
move/(12)::1,move,move/(12),prefixed_8,1,8,7,True,37.0,42.0,45.0,114.0,119.0,121.0,0.31092436974789917,0.35319472616632863,0.375
move/(2)::0,move,move/(2),prefixed_8,0,8,8,True,250.0,264.5,289.0,258.0,364.5,431.0,0.5870069605568445,0.7155733261046353,1.1162790697674418
move/(2)::1,move,move/(2),prefixed_8,1,8,8,True,219.0,236.0,270.0,447.0,457.5,467.0,0.48131868131868133,0.5182731414282225,0.5793991416309013
move/(3)::0,move,move/(3),prefixed_8,0,8,8,True,184.0,201.5,248.0,396.0,449.0,464.0,0.39655172413793105,0.44876488095238093,0.6161616161616161
move/(3)::1,move,move/(3),prefixed_8,1,8,8,True,223.0,250.5,284.0,334.0,370.5,417.0,0.5947242206235012,0.7083965330444204,0.7717391304347826
move/(3)::2,move,move/(3),prefixed_8,2,8,8,True,249.0,289.0,368.0,355.0,424.0,490.0,0.6144859813084113,0.7086130725370993,0.8761904761904762
move/(3)::3,move,move/(3),prefixed_8,3,8,8,True,211.0,268.5,368.0,198.0,334.5,484.0,0.6541176470588236,0.926521164021164,1.099526066350711
move/(4)::0,move,move/(4),prefixed_8,0,8,7,True,41.0,42.0,48.0,115.0,118.0,120.0,0.3416666666666667,0.36169056931768795,0.41025641025641024
move/(4)::1,move,move/(4),prefixed_8,1,8,8,True,42.0,49.5,58.0,111.0,115.0,133.0,0.358974358974359,0.4278665413533834,0.5132743362831859
move/(4)::2,move,move/(4),prefixed_8,2,8,8,True,69.0,79.0,92.0,171.0,185.5,202.0,0.3854748603351955,0.43365754628367115,0.45544554455445546
move/(5)::0,move,move/(5),prefixed_8,0,8,8,True,138.0,148.5,199.0,252.0,365.0,380.0,0.3631578947368421,0.5042259652915391,0.5873015873015873
move/(5)::1,move,move/(5),prefixed_8,1,8,8,True,136.0,145.5,164.0,300.0,337.0,380.0,0.3617021276595745,0.4362017804154303,0.5466666666666666
move/(5)::2,move,move/(5),prefixed_8,2,8,8,True,78.0,84.5,102.0,178.0,192.5,205.0,0.4213197969543147,0.4409953745419595,0.4975609756097561
move/(5)::3,move,move/(5),prefixed_8,3,8,8,True,56.0,66.5,88.0,157.0,170.0,179.0,0.3496932515337423,0.39125541125541125,0.4943820224719101
move/(5)::4,move,move/(5),prefixed_8,4,8,8,True,39.0,44.5,55.0,116.0,121.5,123.0,0.3333333333333333,0.3647450110864745,0.45081967213114754
move/(5)::5,move,move/(5),prefixed_8,5,8,8,True,40.0,47.0,52.0,110.0,114.0,120.0,0.35714285714285715,0.4019736842105263,0.45217391304347826
move/(6)::0,move,move/(6),prefixed_8,0,8,8,True,40.0,47.5,67.0,106.0,109.0,150.0,0.35714285714285715,0.4174311926605505,0.6320754716981132
move/(6)::1,move,move/(6),prefixed_8,1,8,8,True,46.0,76.5,82.0,109.0,173.0,201.0,0.36,0.4174045231491359,0.4567901234567901
move/(8)::0,move,move/(8),prefixed_8,0,8,8,True,47.0,56.0,72.0,133.0,135.0,137.0,0.3533834586466165,0.4132530776773069,0.5333333333333333
move/(8)::1,move,move/(8),prefixed_8,1,8,8,True,46.0,54.0,64.0,131.0,133.5,140.0,0.32857142857142857,0.4000219490781387,0.48854961832061067
move/(8)::2,move,move/(8),prefixed_8,2,8,8,True,51.0,58.0,70.0,132.0,135.5,139.0,0.37681159420289856,0.4349364289662797,0.5035971223021583
move/(8)::3,move,move/(8),prefixed_8,3,8,8,True,43.0,48.0,54.0,71.0,131.0,139.0,0.3282442748091603,0.36634163743385456,0.7323943661971831
move/(9)::0,move,move/(9),prefixed_8,0,8,8,True,62.0,68.5,76.0,94.0,125.5,155.0,0.4900662251655629,0.5432900432900433,0.711340206185567
move/(9)::1,move,move/(9),prefixed_8,1,8,8,True,74.0,85.0,95.0,137.0,151.0,274.0,0.33941605839416056,0.513373210852382,0.6715328467153284
move/1030::folder,move,move/1030,folder_8,folder,8,8,True,48.0,59.0,70.0,128.0,145.0,161.0,0.375,0.4155753968253968,0.43478260869565216
move/1031::folder,move,move/1031,folder_8,folder,8,8,True,194.0,243.5,276.0,244.0,448.5,503.0,0.4369369369369369,0.5277008639719876,1.0819672131147542
move/126::folder,move,move/126,folder_8,folder,8,8,True,172.0,179.0,198.0,250.0,266.5,406.0,0.4236453201970443,0.6915251798561151,0.7176470588235294
move/128::folder,move,move/128,folder_8,folder,8,8,True,164.0,204.0,413.0,306.0,418.0,463.0,0.36504424778761063,0.4629896313364055,1.3496732026143792
move/129::folder,move,move/129,folder_8,folder,8,8,True,85.0,95.0,103.0,193.0,216.5,252.0,0.39285714285714285,0.4285818287711124,0.4660633484162896
move/130::folder,move,move/130,folder_8,folder,8,8,True,51.0,56.0,63.0,110.0,114.0,116.0,0.45132743362831856,0.4955738347042695,0.5478260869565217
move/136::folder,move,move/136,folder_8,folder,8,8,True,176.0,204.0,211.0,186.0,229.0,332.0,0.6295180722891566,0.9154265873015872,0.96875
move/144::folder,move,move/144,folder_8,folder,8,8,True,59.0,63.0,73.0,174.0,183.0,187.0,0.3224043715846995,0.34616429671225435,0.39655172413793105
move/145::folder,move,move/145,folder_8,folder,8,8,True,40.0,43.5,47.0,105.0,109.5,113.0,0.36036036036036034,0.4026837005916145,0.4380952380952381
move/21::folder,move,move/21,folder_8,folder,8,8,True,172.0,192.0,211.0,135.0,214.0,292.0,0.6678082191780822,0.8496929824561403,1.488888888888889
move/21_1::folder,move,move/21_1,folder_8,folder,8,8,True,163.0,194.0,210.0,289.0,332.5,374.0,0.44173441734417346,0.5571901634004669,0.7162629757785467
move/22::folder,move,move/22,folder_8,folder,8,8,True,107.0,115.5,141.0,284.0,320.5,347.0,0.3371757925072046,0.3655964344518253,0.40869565217391307
move/24::folder,move,move/24,folder_8,folder,8,8,True,87.0,102.0,129.0,198.0,314.0,320.0,0.271875,0.3355966830909746,0.5303030303030303
move/257::folder,move,move/257,folder_8,folder,8,8,True,235.0,260.0,355.0,274.0,348.0,437.0,0.6109839816933639,0.7361665367032093,1.2956204379562044
move/26::folder,move,move/26,folder_8,folder,8,6,True,64.0,75.0,87.0,177.0,192.5,198.0,0.3615819209039548,0.38636363636363635,0.4461538461538462
move/27::folder,move,move/27,folder_8,folder,8,8,True,196.0,223.5,245.0,138.0,195.0,204.0,1.0404040404040404,1.1876066917036532,1.4927536231884058
move/48::folder,move,move/48,folder_8,folder,8,8,True,105.0,143.0,164.0,303.0,332.0,396.0,0.33980582524271846,0.3868997101634934,0.45454545454545453
move/95::folder,move,move/95,folder_8,folder,8,8,True,148.0,166.5,232.0,233.0,312.0,324.0,0.4567901234567901,0.5375124522663125,0.9957081545064378
work/(1)::0,work,work/(1),prefixed_8,0,8,8,True,118.0,120.5,131.0,171.0,198.0,203.0,0.5862068965517241,0.6111224489795919,0.7426900584795322
work/(1)::1,work,work/(1),prefixed_8,1,8,8,True,142.0,151.0,175.0,213.0,216.5,222.0,0.6543778801843319,0.7026019042604537,0.7882882882882883
work/(1)::10,work,work/(1),prefixed_8,10,8,8,True,126.0,136.0,159.0,215.0,218.5,228.0,0.5701357466063348,0.6269937347350536,0.7293577981651376
work/(1)::11,work,work/(1),prefixed_8,11,8,8,True,133.0,139.5,155.0,212.0,215.0,233.0,0.5965665236051502,0.6412309473278024,0.7209302325581395
work/(1)::12,work,work/(1),prefixed_8,12,8,8,True,135.0,152.5,197.0,150.0,226.0,256.0,0.5465587044534413,0.6475071753055445,1.3133333333333332
work/(1)::13,work,work/(1),prefixed_8,13,8,8,True,134.0,166.0,197.0,150.0,211.0,251.0,0.5338645418326693,0.7875014049679667,1.3133333333333332
work/(1)::14,work,work/(1),prefixed_8,14,8,8,True,106.0,109.0,156.0,196.0,213.0,251.0,0.5,0.5352808947695457,0.624
work/(1)::15,work,work/(1),prefixed_8,15,8,8,True,121.0,134.0,157.0,200.0,217.0,244.0,0.5409836065573771,0.6117632850241546,0.6541666666666667
work/(1)::2,work,work/(1),prefixed_8,2,8,8,True,114.0,141.0,175.0,218.0,220.5,223.0,0.515695067264574,0.6445680601104238,0.7882882882882883
work/(1)::3,work,work/(1),prefixed_8,3,8,8,True,100.0,117.0,132.0,183.0,234.5,249.0,0.40160642570281124,0.5130067567567567,0.7213114754098361
work/(1)::4,work,work/(1),prefixed_8,4,8,8,True,129.0,132.5,142.0,245.0,257.0,289.0,0.4913494809688581,0.5192781954887218,0.5387755102040817
work/(1)::5,work,work/(1),prefixed_8,5,8,8,True,110.0,115.0,157.0,192.0,216.5,262.0,0.5022421524663677,0.5725279850746268,0.6317991631799164
work/(1)::6,work,work/(1),prefixed_8,6,8,8,True,110.0,118.5,144.0,190.0,193.5,195.0,0.5641025641025641,0.6161268556005398,0.7422680412371134
work/(1)::7,work,work/(1),prefixed_8,7,8,8,True,140.0,143.5,157.0,193.0,213.0,223.0,0.6306306306306306,0.6963575598612404,0.7422680412371134
work/(1)::8,work,work/(1),prefixed_8,8,8,8,True,104.0,187.5,208.0,163.0,263.5,285.0,0.5674418604651162,0.6950046872907459,0.7761194029850746
work/(1)::9,work,work/(1),prefixed_8,9,8,8,True,152.0,153.0,162.0,236.0,261.0,276.0,0.5543478260869565,0.6035714285714285,0.6440677966101694
work/(10)::0,work,work/(10),prefixed_8,0,8,8,True,174.0,182.0,188.0,442.0,447.5,448.0,0.38926174496644295,0.40806990025740025,0.41964285714285715
work/(10)::1,work,work/(10),prefixed_8,1,8,8,True,178.0,191.0,213.0,445.0,448.5,473.0,0.39112050739957716,0.420695512898294,0.47757847533632286
work/(11)::0,work,work/(11),prefixed_8,0,8,8,True,178.0,182.5,183.0,364.0,365.0,367.0,0.4876712328767123,0.4993188010899182,0.5027472527472527
work/(11)::1,work,work/(11),prefixed_8,1,8,8,True,179.0,182.0,186.0,356.0,361.0,366.0,0.4931506849315068,0.5069290976058931,0.5181058495821727
work/(11)::2,work,work/(11),prefixed_8,2,8,8,True,181.0,185.0,186.0,354.0,361.5,367.0,0.5040871934604905,0.5097079886405729,0.5181058495821727
work/(11)::4,work,work/(11),prefixed_8,4,8,7,True,169.0,185.0,190.0,356.0,365.5,383.0,0.4412532637075718,0.5109289617486339,0.5191256830601093
work/(12)::0,work,work/(12),prefixed_8,0,8,8,True,161.0,164.5,184.0,296.0,303.5,318.0,0.5125786163522013,0.5410624494926821,0.6032786885245902
work/(12)::1,work,work/(12),prefixed_8,1,8,7,True,162.0,166.0,167.0,296.0,303.5,313.0,0.5335463258785943,0.5416001362542846,0.5608108108108109
work/(12)::2,work,work/(12),prefixed_8,2,8,8,True,142.0,145.5,146.0,270.0,308.0,315.0,0.4603174603174603,0.47404596247100994,0.5259259259259259
work/(12)::3,work,work/(12),prefixed_8,3,8,8,True,145.0,150.5,152.0,302.0,310.5,315.0,0.4603174603174603,0.48470562608912127,0.5
work/(12)::4,work,work/(12),prefixed_8,4,8,8,True,122.0,156.5,164.0,223.0,256.0,293.0,0.5290102389078498,0.5820325526002382,0.7256637168141593
work/(12)::5,work,work/(12),prefixed_8,5,8,8,True,154.0,172.5,176.0,289.0,297.5,305.0,0.5290102389078498,0.5721381267738883,0.5884353741496599
work/(12)::6,work,work/(12),prefixed_8,6,8,7,True,166.0,170.5,173.0,298.0,302.0,307.0,0.5496688741721855,0.5634256243213898,0.5728476821192053
work/(12)::7,work,work/(12),prefixed_8,7,8,8,True,166.0,173.5,174.0,291.0,300.0,306.0,0.5570469798657718,0.5742636807249912,0.5945017182130584
work/(12)::8,work,work/(12),prefixed_8,8,8,8,True,172.0,175.5,178.0,288.0,304.0,307.0,0.5657894736842105,0.581968094255246,0.6041666666666666
work/(12)::9,work,work/(12),prefixed_8,9,8,8,True,169.0,177.0,179.0,272.0,302.5,308.0,0.5596026490066225,0.5781767252355487,0.6580882352941176
work/(13)::0,work,work/(13),prefixed_8,0,8,7,True,82.0,94.0,104.0,256.0,258.0,274.0,0.3178294573643411,0.361812621124031,0.40625
work/(13)::1,work,work/(13),prefixed_8,1,8,7,True,128.0,145.0,148.0,328.0,329.0,330.0,0.3902439024390244,0.44072948328267475,0.44984802431610943
work/(13)::2,work,work/(13),prefixed_8,2,8,7,True,136.0,139.0,142.0,344.0,345.0,346.0,0.39420289855072466,0.4023163273854402,0.4115942028985507
work/(13)::3,work,work/(13),prefixed_8,3,8,7,True,137.0,139.0,144.0,343.0,345.5,362.0,0.38950276243093923,0.400575506833617,0.41379310344827586
work/(13)::5,work,work/(13),prefixed_8,5,8,8,True,73.0,76.0,81.0,189.0,228.5,231.0,0.3201754385964912,0.34203531422061895,0.3968253968253968
work/(13)::6,work,work/(13),prefixed_8,6,8,8,True,112.0,123.5,148.0,330.0,332.0,350.0,0.3342857142857143,0.3719879518072289,0.4444444444444444
work/(14)::0,work,work/(14),prefixed_8,0,8,8,True,221.0,254.0,287.0,294.0,297.0,300.0,0.7517006802721088,0.8551038454561944,0.9630872483221476
work/(14)::1,work,work/(14),prefixed_8,1,8,8,True,227.0,236.0,271.0,291.0,294.5,300.0,0.7694915254237288,0.8096078708280374,0.9033333333333333
work/(14)::remaining,work,work/(14),remaining_8,remaining,8,8,True,194.0,204.5,212.0,278.0,297.5,301.0,0.6700680272108843,0.6906354515050167,0.7114093959731543
work/(15)::0,work,work/(15),prefixed_8,0,8,8,True,291.0,301.0,323.0,408.0,412.0,421.0,0.6912114014251781,0.7308135118454161,0.7897310513447433
work/(15)::1,work,work/(15),prefixed_8,1,8,8,True,375.0,375.0,376.0,386.0,407.0,421.0,0.8907363420427553,0.9226069738240124,0.9715025906735751
work/(15)::10,work,work/(15),prefixed_8,10,8,8,True,290.0,293.0,297.0,390.0,417.0,438.0,0.6735159817351598,0.708081584186079,0.7435897435897436
work/(15)::11,work,work/(15),prefixed_8,11,8,8,True,287.0,293.5,307.0,402.0,416.0,417.0,0.6882494004796164,0.7131250223701635,0.7379807692307693
work/(15)::12,work,work/(15),prefixed_8,12,8,8,True,213.0,299.5,363.0,416.0,431.0,442.0,0.4930555555555556,0.7156560465912984,0.8441860465116279
work/(15)::2,work,work/(15),prefixed_8,2,8,7,True,373.0,375.0,376.0,380.0,383.5,387.0,0.9638242894056848,0.9791493846467668,0.9894736842105263
work/(15)::3,work,work/(15),prefixed_8,3,8,8,True,318.0,376.0,380.0,401.0,407.5,415.0,0.7930174563591023,0.9197477872176667,0.9330024813895782
work/(15)::4,work,work/(15),prefixed_8,4,8,8,True,318.0,321.5,380.0,397.0,404.0,408.0,0.7910447761194029,0.8027751452727137,0.9313725490196079
work/(15)::5,work,work/(15),prefixed_8,5,8,8,True,204.0,309.0,374.0,397.0,433.5,446.0,0.45739910313901344,0.7351471449097973,0.9166666666666666
