label,folder_rel,frame_count,unique_sizes,has_size_variability,width_min,width_median,width_max,height_min,height_median,height_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_max
inaction,inaction/tr_004_1,18,14,True,146.0,150.0,157.0,327.0,329.0,330.0,0.44376899696048633,0.4552362531085935,0.4801223241590214
inaction,inaction/tr_21312312,426,118,True,45.0,52.0,65.0,114.0,121.0,126.0,0.36885245901639346,0.424,0.5371900826446281
inaction,inaction/tr_9991,1655,225,True,37.0,61.0,68.0,56.0,78.0,119.0,0.35294117647058826,0.7792207792207793,0.9041095890410958
inaction,inaction/tr_in_12454124,180,133,True,109.0,130.0,163.0,310.0,341.0,363.0,0.34169278996865204,0.380885321698359,0.4969512195121951
inaction,inaction/tr_in_231242,250,78,True,165.0,188.0,194.0,332.0,343.0,353.0,0.4852941176470588,0.5483870967741935,0.5773809523809523
inaction,inaction/tr_in_41245124,98,92,True,122.0,171.5,249.0,241.0,269.0,279.0,0.47843137254901963,0.6390977443609023,0.9148148148148149
inaction,inaction/track_000005,37,34,True,116.0,144.0,149.0,233.0,239.0,297.0,0.4006734006734007,0.5967078189300411,0.6239316239316239
inaction,inaction/track_00003312321,34,33,True,66.0,85.5,101.0,160.0,212.0,262.0,0.35377358490566035,0.3867856812077429,0.47368421052631576
inaction,inaction/track_000052,66,64,True,146.0,157.0,233.0,156.0,181.5,274.0,0.6159695817490495,0.8820187482245999,1.2594594594594595
inaction,inaction/track_000130,98,66,True,113.0,140.0,153.0,120.0,215.0,226.0,0.6164383561643836,0.6489688740873576,0.9433962264150944
inaction,inaction/track_00028213213,525,324,True,151.0,196.0,230.0,208.0,269.0,289.0,0.5867158671586716,0.7303370786516854,0.8914728682170543
inaction,inaction/track_000306,28,28,True,203.0,260.0,303.0,113.0,349.0,395.0,0.6527331189710611,0.7166003288050533,1.8761061946902655
inaction,inaction/track_000451,47,39,True,54.0,69.0,79.0,72.0,88.0,118.0,0.4864864864864865,0.7865168539325843,0.9305555555555556
inaction,inaction/track_000458,29,11,True,29.0,31.0,37.0,79.0,83.0,93.0,0.3670886075949367,0.37349397590361444,0.3978494623655914
inaction,inaction/track_000506,80,54,True,89.0,99.0,279.0,171.0,174.0,498.0,0.3407821229050279,0.5574712643678161,1.1375
inaction,inaction/track_001148,161,107,True,180.0,207.0,259.0,219.0,326.0,361.0,0.5294117647058824,0.6375,0.8495934959349594
inaction,inaction/track_001449,31,29,True,47.0,57.0,71.0,65.0,135.0,153.0,0.32867132867132864,0.43703703703703706,0.7692307692307693
move,move/(1),16,14,True,96.0,130.5,179.0,269.0,319.0,351.0,0.35424354243542433,0.41264456108906244,0.5737179487179487
move,move/(10),16,14,True,36.0,40.0,43.0,104.0,110.0,116.0,0.3302752293577982,0.3577091767881242,0.39090909090909093
move,move/(11),16,14,True,57.0,66.0,77.0,139.0,162.5,200.0,0.36683417085427134,0.40005063058087087,0.45774647887323944
move,move/(12),16,13,True,37.0,42.0,45.0,114.0,118.5,121.0,0.31092436974789917,0.3593117408906883,0.39473684210526316
move,move/(2),16,16,True,219.0,253.5,289.0,258.0,439.0,467.0,0.48131868131868133,0.5832030510938729,1.1162790697674418
move,move/(3),32,26,True,184.0,250.5,368.0,198.0,416.0,490.0,0.39655172413793105,0.7014084507042253,1.099526066350711
move,move/(4),24,21,True,41.0,50.0,92.0,111.0,118.0,202.0,0.3416666666666667,0.41053361053361054,0.5132743362831859
move,move/(5),48,44,True,39.0,79.5,199.0,110.0,178.5,380.0,0.3333333333333333,0.4225243052568184,0.5873015873015873
move,move/(6),16,14,True,40.0,54.5,82.0,106.0,131.0,201.0,0.35714285714285715,0.4174311926605505,0.6320754716981132
move,move/(8),32,32,True,43.0,53.5,72.0,71.0,134.0,140.0,0.3282442748091603,0.4000219490781387,0.7323943661971831
move,move/(9),16,14,True,62.0,75.5,95.0,94.0,150.5,274.0,0.33941605839416056,0.5257876781055588,0.711340206185567
move,move/1030,8,8,True,48.0,59.0,70.0,128.0,145.0,161.0,0.375,0.4155753968253968,0.43478260869565216
move,move/1031,8,8,True,194.0,243.5,276.0,244.0,448.5,503.0,0.4369369369369369,0.5277008639719876,1.0819672131147542
move,move/1212321fsafsa,68,68,True,57.0,87.5,176.0,162.0,222.5,330.0,0.3175355450236967,0.40208475734791527,0.9938271604938271
move,move/126,8,8,True,172.0,179.0,198.0,250.0,266.5,406.0,0.4236453201970443,0.6915251798561151,0.7176470588235294
move,move/128,8,8,True,164.0,204.0,413.0,306.0,418.0,463.0,0.36504424778761063,0.4629896313364055,1.3496732026143792
move,move/129,8,8,True,85.0,95.0,103.0,193.0,216.5,252.0,0.39285714285714285,0.4285818287711124,0.4660633484162896
move,move/130,8,8,True,51.0,56.0,63.0,110.0,114.0,116.0,0.45132743362831856,0.4955738347042695,0.5478260869565217
move,move/136,8,8,True,176.0,204.0,211.0,186.0,229.0,332.0,0.6295180722891566,0.9154265873015872,0.96875
move,move/144,8,8,True,59.0,63.0,73.0,174.0,183.0,187.0,0.3224043715846995,0.34616429671225435,0.39655172413793105
move,move/145,8,8,True,40.0,43.5,47.0,105.0,109.5,113.0,0.36036036036036034,0.4026837005916145,0.4380952380952381
move,move/21,8,8,True,172.0,192.0,211.0,135.0,214.0,292.0,0.6678082191780822,0.8496929824561403,1.488888888888889
move,move/21_1,8,8,True,163.0,194.0,210.0,289.0,332.5,374.0,0.44173441734417346,0.5571901634004669,0.7162629757785467
move,move/22,8,8,True,107.0,115.5,141.0,284.0,320.5,347.0,0.3371757925072046,0.3655964344518253,0.40869565217391307
move,move/24,8,8,True,87.0,102.0,129.0,198.0,314.0,320.0,0.271875,0.3355966830909746,0.5303030303030303
move,move/257,8,8,True,235.0,260.0,355.0,274.0,348.0,437.0,0.6109839816933639,0.7361665367032093,1.2956204379562044
move,move/26,8,6,True,64.0,75.0,87.0,177.0,192.5,198.0,0.3615819209039548,0.38636363636363635,0.4461538461538462
move,move/27,8,8,True,196.0,223.5,245.0,138.0,195.0,204.0,1.0404040404040404,1.1876066917036532,1.4927536231884058
move,move/48,8,8,True,105.0,143.0,164.0,303.0,332.0,396.0,0.33980582524271846,0.3868997101634934,0.45454545454545453
move,move/95,8,8,True,148.0,166.5,232.0,233.0,312.0,324.0,0.4567901234567901,0.5375124522663125,0.9957081545064378
move,move/mv_tr_21445009,51,51,True,182.0,241.0,341.0,250.0,312.0,378.0,0.5718232044198895,0.7596153846153846,1.28
move,move/tr_2312321,26,26,True,145.0,209.0,306.0,184.0,336.5,382.0,0.42120343839541546,0.5670834418685422,1.3695652173913044
move,move/tr_31245124,67,67,True,203.0,230.0,314.0,190.0,275.0,343.0,0.6446540880503144,0.8774834437086093,1.5242718446601942
move,move/tr_move_21321,40,40,True,77.0,161.0,246.0,134.0,303.5,384.0,0.3607142857142857,0.49109848484848484,1.1225490196078431
move,move/tr_move_2141254125,29,29,True,54.0,82.0,119.0,89.0,201.0,317.0,0.3615023474178404,0.4444444444444444,0.6179775280898876
move,move/tr_rand_21321,9,9,True,167.0,240.0,255.0,303.0,353.0,385.0,0.5489614243323442,0.6419098143236074,0.7522123893805309
move,move/track_000007,79,79,True,100.0,166.0,411.0,186.0,342.0,481.0,0.3472222222222222,0.46923076923076923,1.3537735849056605
move,move/track_000015,28,27,True,49.0,129.5,231.0,125.0,260.5,411.0,0.3027027027027027,0.42955326460481097,1.15
move,move/track_000016,30,30,True,43.0,58.5,141.0,104.0,237.5,299.0,0.21287128712871287,0.34612736660929433,0.5480769230769231
move,move/track_00003,23,23,True,107.0,174.0,195.0,161.0,270.0,311.0,0.5604395604395604,0.6487455197132617,0.7621951219512195
move,move/track_000033,71,70,True,37.0,70.0,132.0,87.0,131.0,275.0,0.3490909090909091,0.46236559139784944,0.6864406779661016
move,move/track_000058,35,35,True,50.0,144.0,415.0,165.0,320.0,475.0,0.2994011976047904,0.43171806167400884,1.2462462462462462
move,move/track_000063,16,16,True,29.0,72.0,120.0,115.0,249.5,291.0,0.25,0.2921462423832092,0.43283582089552236
move,move/track_00007,11,11,True,165.0,184.0,227.0,297.0,370.0,400.0,0.4972972972972973,0.5475578406169666,0.6118598382749326
move,move/track_000073123213,83,83,True,84.0,120.0,194.0,118.0,269.0,344.0,0.3321678321678322,0.4149377593360996,1.1610169491525424
move,move/track_00011,21,21,True,179.0,206.0,230.0,148.0,303.0,364.0,0.5400593471810089,0.6884057971014492,1.3783783783783783
move,move/track_000111231234,52,51,True,63.0,119.0,194.0,163.0,248.0,351.0,0.35,0.44897094696250417,1.0552147239263803
move,move/track_00012,214,208,True,59.0,175.0,352.0,80.0,254.5,396.0,0.456973293768546,0.7483552631578947,1.550660792951542
move,move/track_000135,47,46,True,40.0,95.0,313.0,106.0,229.0,521.0,0.35403726708074534,0.44148936170212766,1.2084942084942085
move,move/track_00014,124,124,True,87.0,222.5,331.0,122.0,306.5,425.0,0.43561643835616437,0.7240097749719988,1.2334630350194553
move,move/track_000163,23,23,True,120.0,151.0,265.0,142.0,305.0,379.0,0.39215686274509803,0.49127906976744184,1.5422535211267605
move,move/track_000164124ww,35,34,True,67.0,87.0,144.0,173.0,229.0,306.0,0.34782608695652173,0.3930635838150289,0.47058823529411764
move,move/track_000174,39,39,True,43.0,98.0,307.0,108.0,243.0,483.0,0.35802469135802467,0.42151162790697677,1.0442176870748299
move,move/track_000193,72,72,True,48.0,87.5,293.0,108.0,219.0,488.0,0.32653061224489793,0.40845551061678464,1.8387096774193548
move,move/track_000195,36,36,True,62.0,114.0,339.0,174.0,285.0,469.0,0.3422459893048128,0.38340716874748293,1.2327272727272727
move,move/track_00023,32,32,True,125.0,177.0,213.0,283.0,366.0,393.0,0.4166666666666667,0.4761938089205854,0.5977337110481586
move,move/track_00023mv231,82,78,True,37.0,71.5,166.0,107.0,197.0,344.0,0.32,0.3689209726443769,0.4868035190615836
move,move/track_000256,47,46,True,33.0,112.0,174.0,146.0,280.0,371.0,0.20496894409937888,0.3508771929824561,1.1712328767123288
move,move/track_000269,35,34,True,40.0,93.0,223.0,125.0,217.0,392.0,0.32,0.432258064516129,0.7969924812030075
move,move/track_00027,23,23,True,176.0,203.0,235.0,187.0,295.0,346.0,0.5589123867069486,0.7138157894736842,1.13903743315508
move,move/track_000275,12,12,True,87.0,101.0,107.0,161.0,203.0,253.0,0.40963855421686746,0.5,0.5838150289017341
move,move/track_000280,14,13,True,55.0,74.0,81.0,107.0,168.5,194.0,0.387434554973822,0.4217027358105349,0.5514018691588785
move,move/track_000284,63,63,True,45.0,72.0,181.0,116.0,148.0,407.0,0.32186732186732187,0.45652173913043476,0.6601307189542484
move,move/track_000288,36,36,True,56.0,105.0,281.0,110.0,233.5,481.0,0.3961038961038961,0.45710791998495015,2.0725806451612905
move,move/track_000289,20,20,True,113.0,177.0,306.0,119.0,306.5,474.0,0.37920489296636084,0.522143367992518,1.773109243697479
move,move/track_00028mv12321321,70,69,True,40.0,76.5,203.0,87.0,189.5,367.0,0.33962264150943394,0.3963284122715548,1.2929936305732483
move,move/track_000292,38,37,True,57.0,108.0,358.0,94.0,242.0,465.0,0.37037037037037035,0.45588082632617044,2.0180722891566263
move,move/track_000294,41,41,True,46.0,99.0,359.0,85.0,216.0,502.0,0.34063745019920316,0.45108695652173914,1.01171875
move,move/track_000325,45,43,True,46.0,101.0,262.0,184.0,274.0,392.0,0.20353982300884957,0.35,1.048913043478261
move,move/track_00033213213,16,15,True,54.0,73.5,117.0,169.0,190.0,281.0,0.31952662721893493,0.4013523733262156,0.4476987447698745
move,move/track_000347,23,23,True,57.0,116.0,244.0,187.0,277.0,387.0,0.27155172413793105,0.39322033898305087,1.1401869158878504
move,move/track_00036,51,50,True,52.0,106.0,204.0,82.0,250.0,381.0,0.343042071197411,0.4484848484848485,0.8831168831168831
move,move/track_000374124214,48,48,True,65.0,104.5,183.0,108.0,237.0,340.0,0.3212996389891697,0.41920429788076846,1.2592592592592593
move,move/track_000382we,69,69,True,93.0,189.0,314.0,188.0,268.0,338.0,0.49029126213592233,0.7539936102236422,1.0649819494584838
move,move/track_000386,54,54,True,64.0,99.5,147.0,156.0,249.0,329.0,0.3148148148148148,0.41652445961319684,0.5476190476190477
move,move/track_000407,183,180,True,45.0,91.0,220.0,117.0,199.0,385.0,0.26229508196721313,0.4409448818897638,0.7241379310344828
move,move/track_000431,40,40,True,56.0,120.0,349.0,99.0,247.0,515.0,0.39156626506024095,0.4424873893988258,1.910828025477707
move,move/track_000467,46,46,True,33.0,82.0,323.0,64.0,193.5,534.0,0.35260115606936415,0.4082926625787344,1.4765625
move,move/track_000472,32,32,True,62.0,106.5,241.0,148.0,249.0,438.0,0.37222222222222223,0.4496816340031423,0.9068825910931174
move,move/track_000489,25,25,True,41.0,70.0,95.0,110.0,182.0,201.0,0.3076923076923077,0.43434343434343436,0.4846938775510204
move,move/track_000502,42,42,True,50.0,103.0,338.0,116.0,234.0,511.0,0.30678466076696165,0.43123486682808715,1.7080291970802919
move,move/track_000504,21,21,True,43.0,52.0,79.0,107.0,115.0,163.0,0.34615384615384615,0.4298245614035088,0.5648148148148148
move,move/track_000582,46,46,True,44.0,99.0,163.0,178.0,260.5,344.0,0.24719101123595505,0.38187084922989967,0.5117056856187291
move,move/track_000585,73,72,True,47.0,77.0,148.0,119.0,152.0,312.0,0.3525641025641026,0.47692307692307695,0.6505376344086021
move,move/track_000594,44,44,True,41.0,106.5,288.0,98.0,236.5,520.0,0.31736526946107785,0.4524761212624585,2.3716814159292037
move,move/track_000597,38,38,True,110.0,167.0,321.0,166.0,354.5,472.0,0.3416149068322981,0.4514975073257982,1.8012048192771084
move,move/track_00060,109,107,True,71.0,157.0,193.0,98.0,253.0,295.0,0.49814126394052044,0.6559139784946236,0.8872180451127819
move,move/track_000634,11,10,True,45.0,55.0,66.0,146.0,161.0,177.0,0.2542372881355932,0.33540372670807456,0.4520547945205479
move,move/track_000656,53,53,True,40.0,90.0,312.0,106.0,230.0,474.0,0.34153005464480873,0.4056603773584906,1.9872611464968153
move,move/track_000659,15,15,True,37.0,92.0,109.0,81.0,184.0,229.0,0.3788546255506608,0.4900990099009901,0.6827586206896552
move,move/track_000699,9,9,True,165.0,215.0,276.0,174.0,359.0,410.0,0.45454545454545453,0.5517241379310345,1.4540229885057472
move,move/track_00071,34,34,True,85.0,158.0,243.0,152.0,278.5,351.0,0.3776978417266187,0.5888157894736842,1.0095238095238095
move,move/track_000710,21,21,True,102.0,149.0,260.0,115.0,373.0,515.0,0.33024691358024694,0.4302554027504912,0.9568965517241379
move,move/track_000724,42,42,True,31.0,74.5,104.0,83.0,175.5,246.0,0.29523809523809524,0.4273449824050479,0.7108433734939759
move,move/track_000730,40,36,True,31.0,56.5,84.0,91.0,124.0,218.0,0.26956521739130435,0.39916740347774826,0.6593406593406593
move,move/track_000745,76,76,True,86.0,156.0,338.0,92.0,258.0,487.0,0.35826771653543305,0.4817791498119367,3.6739130434782608
move,move/track_000993,76,76,True,67.0,146.5,254.0,108.0,305.5,427.0,0.3215434083601286,0.45732744596792935,1.3976608187134503
move,move/track_001051,11,11,True,186.0,214.0,230.0,197.0,345.0,398.0,0.5365168539325843,0.6579710144927536,0.9441624365482234
move,move/track_001107,9,9,True,127.0,161.0,213.0,322.0,368.0,433.0,0.371824480369515,0.45108695652173914,0.5788043478260869
move,move/track_001128,55,55,True,48.0,86.0,167.0,65.0,200.0,353.0,0.34844192634560905,0.43812709030100333,0.8923076923076924
move,move/track_001290,66,66,True,43.0,114.5,302.0,129.0,278.0,513.0,0.33217993079584773,0.3918050418404554,1.1587301587301588
move,move/track_001302,35,35,True,54.0,82.0,266.0,136.0,232.0,448.0,0.32616487455197135,0.36895674300254455,1.821917808219178
move,move/track_001488,26,26,True,79.0,130.5,276.0,213.0,322.0,463.0,0.34375,0.381579321725276,1.248868778280543
move,move/track_002239,37,35,True,30.0,34.0,41.0,70.0,91.0,107.0,0.32608695652173914,0.3877551020408163,0.45714285714285713
move,move/track_002315,21,21,True,111.0,216.0,288.0,251.0,410.0,508.0,0.3333333333333333,0.49377593360995853,1.00398406374502
move,move/track_002421,25,25,True,96.0,234.0,317.0,298.0,390.0,447.0,0.28152492668621704,0.6052631578947368,0.8544474393530997
work,work/(1),128,111,True,100.0,139.0,208.0,150.0,218.5,289.0,0.40160642570281124,0.6219776929410884,1.3133333333333332
work,work/(10),16,16,True,174.0,184.0,213.0,442.0,447.5,473.0,0.38926174496644295,0.4095982142857143,0.47757847533632286
work,work/(11),32,27,True,169.0,183.0,190.0,354.0,364.0,383.0,0.4412532637075718,0.5048285466417058,0.5191256830601093
work,work/(12),80,63,True,122.0,166.0,184.0,223.0,302.0,318.0,0.4603174603174603,0.5608108108108109,0.7256637168141593
work,work/(13),48,42,True,73.0,134.5,148.0,189.0,330.0,362.0,0.3178294573643411,0.3975406053894426,0.44984802431610943
work,work/(14),24,22,True,194.0,231.0,287.0,278.0,296.5,301.0,0.6700680272108843,0.7817288531574246,0.9630872483221476
work,work/(15),104,91,True,204.0,311.0,380.0,293.0,409.0,446.0,0.45739910313901344,0.7891954225795881,1.1023890784982935
work,work/(16),104,90,True,86.0,176.5,192.0,143.0,256.5,316.0,0.4542483660130719,0.6133117335562988,1.1515151515151516
work,work/(17),136,125,True,111.0,151.0,228.0,214.0,301.0,395.0,0.38170347003154576,0.49848195329087047,0.8418604651162791
work,work/(18),136,111,True,126.0,164.0,245.0,168.0,220.0,327.0,0.3987341772151899,0.7394617766134794,1.008230452674897
work,work/(19),80,66,True,171.0,188.0,258.0,400.0,423.0,441.0,0.39400921658986177,0.44663391880901215,0.6231884057971014
work,work/(2),16,12,True,101.0,123.0,193.0,333.0,339.0,356.0,0.30149253731343284,0.3642326537063379,0.5451977401129944
work,work/(20),16,14,True,174.0,183.5,196.0,237.0,250.5,264.0,0.6984732824427481,0.7361742424242425,0.7763713080168776
work,work/(21),136,120,True,68.0,138.0,181.0,149.0,284.0,320.0,0.3434343434343434,0.4910375843238034,0.6265060240963856
work,work/(22),16,12,True,188.0,196.0,204.0,415.0,428.5,446.0,0.4253393665158371,0.4639832467567788,0.4843373493975904
work,work/(24),160,135,True,191.0,254.0,338.0,285.0,366.0,484.0,0.4690831556503198,0.672566371681416,0.8806818181818182
work,work/(25),64,54,True,49.0,64.0,94.0,80.0,97.0,180.0,0.4298245614035088,0.6377289377289377,0.9135802469135802
work,work/(27),16,14,True,106.0,152.0,176.0,207.0,221.0,227.0,0.48868778280542985,0.6755555555555556,0.822429906542056
work,work/(28),48,38,True,45.0,53.0,60.0,53.0,94.0,143.0,0.34965034965034963,0.5212765957446809,0.8867924528301887
work,work/(29),24,20,True,65.0,71.0,90.0,109.0,135.5,239.0,0.28870292887029286,0.5001114081996435,0.6146788990825688
work,work/(3),40,34,True,142.0,215.0,314.0,198.0,298.0,336.0,0.4409937888198758,0.9509803921568627,1.0980392156862746
work,work/(30),16,14,True,68.0,74.5,94.0,161.0,184.5,220.0,0.391304347826087,0.4108509499598608,0.43478260869565216
work,work/(31),16,16,True,47.0,60.5,66.0,79.0,114.5,141.0,0.3671875,0.5330882352941176,0.7974683544303798
work,work/(32),16,14,True,58.0,85.0,99.0,163.0,206.0,236.0,0.33760683760683763,0.419811320754717,0.46411483253588515
work,work/(33),24,20,True,114.0,178.0,273.0,282.0,352.5,492.0,0.3088235294117647,0.47629232505643343,0.9680851063829787
work,work/(34),16,16,True,93.0,159.0,264.0,97.0,240.5,393.0,0.4672897196261682,0.5799547662925113,1.5608108108108107
work,work/(35),40,33,True,63.0,89.0,272.0,160.0,217.0,433.0,0.36259541984732824,0.39801617873651773,1.1623931623931625
work,work/(4),72,66,True,95.0,175.0,213.0,107.0,284.5,374.0,0.3298611111111111,0.632495295344083,1.6605504587155964
work,work/(5),19,12,True,68.0,82.0,92.0,196.0,200.0,201.0,0.34,0.41414141414141414,0.46
work,work/(6),64,50,True,110.0,155.5,167.0,281.0,289.0,298.0,0.37800687285223367,0.543706828045724,0.5818815331010453
work,work/(7),48,42,True,110.0,136.0,178.0,213.0,266.0,308.0,0.40892193308550184,0.49565908083345644,0.7488372093023256
work,work/(9),64,52,True,88.0,154.0,191.0,305.0,424.0,494.0,0.28664495114006516,0.36487487842907207,0.4081196581196581
work,work/1032,8,8,True,30.0,39.0,46.0,92.0,100.5,117.0,0.2980769230769231,0.38196286472148544,0.43010752688172044
work,work/129,8,8,True,300.0,314.5,380.0,371.0,379.5,481.0,0.7876857749469215,0.7918309956950423,0.8571428571428571
work,work/133_1,8,7,True,56.0,61.0,64.0,79.0,113.0,115.0,0.5,0.5398230088495575,0.810126582278481
work,work/134,8,8,True,292.0,303.0,307.0,370.0,399.0,437.0,0.6681922196796338,0.7628779113637507,0.8297297297297297
work,work/135,8,8,True,45.0,47.0,50.0,128.0,132.0,135.0,0.3383458646616541,0.35984848484848486,0.390625
work,work/163,8,8,True,229.0,269.5,340.0,220.0,226.5,235.0,1.0315315315315314,1.1716954022988506,1.511111111111111
work,work/19_1,8,8,True,113.0,122.0,125.0,311.0,313.5,318.0,0.3553459119496855,0.39075091575091575,0.3968253968253968
work,work/1_1,8,6,True,47.0,52.0,55.0,113.0,113.0,114.0,0.415929203539823,0.458197484862599,0.48672566371681414
work,work/22,8,8,True,189.0,247.0,265.0,264.0,326.0,404.0,0.6287128712871287,0.7037907921357859,0.8316831683168316
work,work/258,8,8,True,51.0,65.5,78.0,94.0,99.5,156.0,0.45695364238410596,0.5408163265306123,0.7878787878787878
work,work/25_1,8,8,True,135.0,167.5,219.0,139.0,171.5,203.0,0.8522167487684729,1.021696606786427,1.1477272727272727
work,work/29,8,8,True,132.0,181.5,209.0,300.0,312.5,360.0,0.42996742671009774,0.5414012738853503,0.6270096463022508
work,work/30_1,8,8,True,93.0,99.5,127.0,232.0,312.5,349.0,0.30293159609120524,0.3408690163704491,0.44396551724137934
work,work/33_1,8,8,True,113.0,131.0,138.0,199.0,212.5,241.0,0.48497854077253216,0.6073882061785287,0.6633165829145728
work,work/34_1,8,8,True,184.0,195.5,220.0,247.0,262.5,283.0,0.6925795053003534,0.722576211894053,0.8421052631578947
work,work/35_1,8,8,True,156.0,166.0,178.0,113.0,140.0,165.0,0.968944099378882,1.1593869731800766,1.575221238938053
work,work/44_1,8,7,True,121.0,128.5,141.0,297.0,304.0,315.0,0.39365079365079364,0.42081108323146543,0.45454545454545453
work,work/45_1,8,8,True,155.0,163.5,198.0,148.0,172.0,260.0,0.5961538461538461,0.9492466565092263,1.2
work,work/51,8,8,True,240.0,260.0,263.0,359.0,368.5,413.0,0.5811138014527845,0.7075157349129952,0.7325905292479109
work,work/57_1,8,8,True,188.0,207.0,219.0,165.0,177.5,354.0,0.6129943502824858,1.0772655007949126,1.2574850299401197
work,work/753,8,8,True,51.0,54.0,58.0,127.0,133.0,139.0,0.3669064748201439,0.41699463327370306,0.4296875
work,work/tr_kassa,507,451,True,132.0,183.0,234.0,207.0,243.0,413.0,0.3743455497382199,0.638728323699422,0.9807692307692307
work,work/tr_wr_00001,110,97,True,77.0,104.0,144.0,161.0,226.0,250.0,0.33624454148471616,0.45631105006105005,0.8944099378881988
work,work/tr_wr_2321321,225,179,True,141.0,156.0,267.0,233.0,340.0,362.0,0.4110787172011662,0.4588235294117647,0.7579250720461095
work,work/tr_wr_b_2132134,38,37,True,107.0,178.5,318.0,197.0,271.5,359.0,0.5119617224880383,0.6672043010752688,1.5736040609137056
work,work/tr_wrk_412412,145,139,True,111.0,219.0,327.0,198.0,316.0,401.0,0.3350125944584383,0.6763005780346821,1.5678391959798994
work,work/track_000003,51,49,True,81.0,109.0,193.0,240.0,322.0,350.0,0.26644736842105265,0.3592233009708738,0.6551724137931034
work,work/track_000004,17,17,True,106.0,127.0,168.0,236.0,282.0,290.0,0.38405797101449274,0.4774436090225564,0.652542372881356
work,work/track_000005,49,49,True,84.0,128.0,149.0,291.0,319.0,335.0,0.2608695652173913,0.409375,0.5120274914089347
work,work/track_00001,14,14,True,137.0,155.0,222.0,269.0,303.5,330.0,0.44904458598726116,0.506981900994846,0.7985611510791367
work,work/track_000013,18,16,True,44.0,48.0,81.0,139.0,143.5,146.0,0.3082191780821918,0.3333333333333333,0.5625
work,work/track_000037,13,12,True,38.0,43.0,44.0,143.0,149.0,157.0,0.25165562913907286,0.2876712328767123,0.3076923076923077
work,work/track_000051,12,12,True,77.0,158.5,280.0,80.0,158.0,347.0,0.8069164265129684,0.9764423076923077,1.0526315789473684
work,work/track_00015,17,17,True,139.0,170.0,207.0,202.0,351.0,385.0,0.3926553672316384,0.4735376044568245,1.0247524752475248
work,work/track_00016,34,30,True,122.0,167.0,174.0,136.0,155.0,164.0,0.8591549295774648,1.0642301361663924,1.0980392156862746
work,work/track_000167,21,21,True,97.0,122.0,142.0,256.0,275.0,286.0,0.34397163120567376,0.43884892086330934,0.5298507462686567
work,work/track_000169,35,35,True,115.0,185.0,317.0,104.0,215.0,330.0,0.7444794952681388,0.892018779342723,1.7596153846153846
work,work/track_0001712312s,30,30,True,77.0,81.0,95.0,157.0,209.0,222.0,0.34684684684684686,0.40002090398104706,0.5286624203821656
